model,year,price,results
opel corsa (FR),2008.0,1000.0,0.0
opel corsa (FR),2008.0,1500.0,0.0
opel corsa (FR),2008.0,2000.0,1.0
opel corsa (FR),2008.0,2500.0,0.0
opel corsa (FR),2008.0,3000.0,1.0
opel corsa (FR),2008.0,3500.0,3.0
opel corsa (FR),2008.0,4000.0,0.0
opel corsa (FR),2008.0,4500.0,0.0
opel corsa (FR),2008.0,5000.0,0.0
opel corsa (FR),2008.0,5500.0,0.0
opel corsa (FR),2008.0,6000.0,0.0
opel corsa (FR),2008.0,6500.0,0.0
opel corsa (FR),2008.0,7000.0,0.0
opel corsa (FR),2008.0,7500.0,0.0
opel corsa (FR),2008.0,8000.0,0.0
opel corsa (FR),2008.0,8500.0,0.0
opel corsa (FR),2008.0,9000.0,0.0
opel corsa (FR),2008.0,9500.0,0.0
opel corsa (FR),2008.0,10000.0,0.0
opel corsa (FR),2008.0,10500.0,0.0
opel corsa (FR),2008.0,11000.0,0.0
opel corsa (FR),2008.0,11500.0,0.0
opel corsa (FR),2008.0,12000.0,0.0
opel corsa (FR),2008.0,12500.0,0.0
opel corsa (FR),2008.0,13000.0,0.0
opel corsa (FR),2008.0,13500.0,0.0
opel corsa (FR),2008.0,14000.0,0.0
opel corsa (FR),2008.0,14500.0,0.0
opel corsa (FR),2008.0,15000.0,0.0
opel corsa (FR),2008.0,15500.0,0.0
opel corsa (FR),2008.0,16000.0,0.0
opel corsa (FR),2008.0,16500.0,0.0
opel corsa (FR),2008.0,17000.0,0.0
opel corsa (FR),2008.0,17500.0,0.0
opel corsa (FR),2008.0,18000.0,0.0
opel corsa (FR),2008.0,18500.0,0.0
opel corsa (FR),2008.0,19000.0,0.0
opel corsa (FR),2008.0,19500.0,0.0
opel corsa (FR),2009.0,1000.0,0.0
opel corsa (FR),2009.0,1500.0,0.0
opel corsa (FR),2009.0,2000.0,0.0
opel corsa (FR),2009.0,2500.0,0.0
opel corsa (FR),2009.0,3000.0,0.0
opel corsa (FR),2009.0,3500.0,2.0
opel corsa (FR),2009.0,4000.0,0.0
opel corsa (FR),2009.0,4500.0,5.0
opel corsa (FR),2009.0,5000.0,4.0
opel corsa (FR),2009.0,5500.0,3.0
opel corsa (FR),2009.0,6000.0,3.0
opel corsa (FR),2009.0,6500.0,0.0
opel corsa (FR),2009.0,7000.0,0.0
opel corsa (FR),2009.0,7500.0,0.0
opel corsa (FR),2009.0,8000.0,0.0
opel corsa (FR),2009.0,8500.0,0.0
opel corsa (FR),2009.0,9000.0,0.0
opel corsa (FR),2009.0,9500.0,0.0
opel corsa (FR),2009.0,10000.0,0.0
opel corsa (FR),2009.0,10500.0,0.0
opel corsa (FR),2009.0,11000.0,0.0
opel corsa (FR),2009.0,11500.0,0.0
opel corsa (FR),2009.0,12000.0,0.0
opel corsa (FR),2009.0,12500.0,0.0
opel corsa (FR),2009.0,13000.0,0.0
opel corsa (FR),2009.0,13500.0,0.0
opel corsa (FR),2009.0,14000.0,0.0
opel corsa (FR),2009.0,14500.0,0.0
opel corsa (FR),2009.0,15000.0,0.0
opel corsa (FR),2009.0,15500.0,0.0
opel corsa (FR),2009.0,16000.0,0.0
opel corsa (FR),2009.0,16500.0,0.0
opel corsa (FR),2009.0,17000.0,0.0
opel corsa (FR),2009.0,17500.0,0.0
opel corsa (FR),2009.0,18000.0,0.0
opel corsa (FR),2009.0,18500.0,0.0
opel corsa (FR),2009.0,19000.0,0.0
opel corsa (FR),2009.0,19500.0,0.0
opel corsa (FR),2010.0,1000.0,0.0
opel corsa (FR),2010.0,1500.0,0.0
opel corsa (FR),2010.0,2000.0,0.0
opel corsa (FR),2010.0,2500.0,0.0
opel corsa (FR),2010.0,3000.0,2.0
opel corsa (FR),2010.0,3500.0,2.0
opel corsa (FR),2010.0,4000.0,4.0
opel corsa (FR),2010.0,4500.0,3.0
opel corsa (FR),2010.0,5000.0,4.0
opel corsa (FR),2010.0,5500.0,8.0
opel corsa (FR),2010.0,6000.0,6.0
opel corsa (FR),2010.0,6500.0,2.0
opel corsa (FR),2010.0,7000.0,2.0
opel corsa (FR),2010.0,7500.0,4.0
opel corsa (FR),2010.0,8000.0,0.0
opel corsa (FR),2010.0,8500.0,0.0
opel corsa (FR),2010.0,9000.0,0.0
opel corsa (FR),2010.0,9500.0,0.0
opel corsa (FR),2010.0,10000.0,0.0
opel corsa (FR),2010.0,10500.0,0.0
opel corsa (FR),2010.0,11000.0,0.0
opel corsa (FR),2010.0,11500.0,0.0
opel corsa (FR),2010.0,12000.0,0.0
opel corsa (FR),2010.0,12500.0,0.0
opel corsa (FR),2010.0,13000.0,0.0
opel corsa (FR),2010.0,13500.0,0.0
opel corsa (FR),2010.0,14000.0,0.0
opel corsa (FR),2010.0,14500.0,0.0
opel corsa (FR),2010.0,15000.0,0.0
opel corsa (FR),2010.0,15500.0,0.0
opel corsa (FR),2010.0,16000.0,0.0
opel corsa (FR),2010.0,16500.0,0.0
opel corsa (FR),2010.0,17000.0,0.0
opel corsa (FR),2010.0,17500.0,0.0
opel corsa (FR),2010.0,18000.0,0.0
opel corsa (FR),2010.0,18500.0,0.0
opel corsa (FR),2010.0,19000.0,0.0
opel corsa (FR),2010.0,19500.0,0.0
opel corsa (FR),2011.0,1000.0,0.0
opel corsa (FR),2011.0,1500.0,0.0
opel corsa (FR),2011.0,2000.0,0.0
opel corsa (FR),2011.0,2500.0,0.0
opel corsa (FR),2011.0,3000.0,0.0
opel corsa (FR),2011.0,3500.0,0.0
opel corsa (FR),2011.0,4000.0,1.0
opel corsa (FR),2011.0,4500.0,5.0
opel corsa (FR),2011.0,5000.0,4.0
opel corsa (FR),2011.0,5500.0,5.0
opel corsa (FR),2011.0,6000.0,6.0
opel corsa (FR),2011.0,6500.0,5.0
opel corsa (FR),2011.0,7000.0,0.0
opel corsa (FR),2011.0,7500.0,2.0
opel corsa (FR),2011.0,8000.0,0.0
opel corsa (FR),2011.0,8500.0,1.0
opel corsa (FR),2011.0,9000.0,0.0
opel corsa (FR),2011.0,9500.0,0.0
opel corsa (FR),2011.0,10000.0,0.0
opel corsa (FR),2011.0,10500.0,0.0
opel corsa (FR),2011.0,11000.0,0.0
opel corsa (FR),2011.0,11500.0,0.0
opel corsa (FR),2011.0,12000.0,0.0
opel corsa (FR),2011.0,12500.0,0.0
opel corsa (FR),2011.0,13000.0,0.0
opel corsa (FR),2011.0,13500.0,0.0
opel corsa (FR),2011.0,14000.0,0.0
opel corsa (FR),2011.0,14500.0,0.0
opel corsa (FR),2011.0,15000.0,0.0
opel corsa (FR),2011.0,15500.0,0.0
opel corsa (FR),2011.0,16000.0,0.0
opel corsa (FR),2011.0,16500.0,0.0
opel corsa (FR),2011.0,17000.0,0.0
opel corsa (FR),2011.0,17500.0,0.0
opel corsa (FR),2011.0,18000.0,0.0
opel corsa (FR),2011.0,18500.0,0.0
opel corsa (FR),2011.0,19000.0,0.0
opel corsa (FR),2011.0,19500.0,0.0
opel corsa (FR),2012.0,1000.0,0.0
opel corsa (FR),2012.0,1500.0,0.0
opel corsa (FR),2012.0,2000.0,0.0
opel corsa (FR),2012.0,2500.0,0.0
opel corsa (FR),2012.0,3000.0,0.0
opel corsa (FR),2012.0,3500.0,0.0
opel corsa (FR),2012.0,4000.0,0.0
opel corsa (FR),2012.0,4500.0,0.0
opel corsa (FR),2012.0,5000.0,4.0
opel corsa (FR),2012.0,5500.0,7.0
opel corsa (FR),2012.0,6000.0,5.0
opel corsa (FR),2012.0,6500.0,12.0
opel corsa (FR),2012.0,7000.0,7.0
opel corsa (FR),2012.0,7500.0,8.0
opel corsa (FR),2012.0,8000.0,2.0
opel corsa (FR),2012.0,8500.0,2.0
opel corsa (FR),2012.0,9000.0,1.0
opel corsa (FR),2012.0,9500.0,1.0
opel corsa (FR),2012.0,10000.0,0.0
opel corsa (FR),2012.0,10500.0,0.0
opel corsa (FR),2012.0,11000.0,0.0
opel corsa (FR),2012.0,11500.0,0.0
opel corsa (FR),2012.0,12000.0,0.0
opel corsa (FR),2012.0,12500.0,0.0
opel corsa (FR),2012.0,13000.0,0.0
opel corsa (FR),2012.0,13500.0,0.0
opel corsa (FR),2012.0,14000.0,0.0
opel corsa (FR),2012.0,14500.0,0.0
opel corsa (FR),2012.0,15000.0,0.0
opel corsa (FR),2012.0,15500.0,0.0
opel corsa (FR),2012.0,16000.0,0.0
opel corsa (FR),2012.0,16500.0,0.0
opel corsa (FR),2012.0,17000.0,0.0
opel corsa (FR),2012.0,17500.0,0.0
opel corsa (FR),2012.0,18000.0,0.0
opel corsa (FR),2012.0,18500.0,0.0
opel corsa (FR),2012.0,19000.0,0.0
opel corsa (FR),2012.0,19500.0,0.0
opel corsa (FR),2013.0,1000.0,0.0
opel corsa (FR),2013.0,1500.0,0.0
opel corsa (FR),2013.0,2000.0,0.0
opel corsa (FR),2013.0,2500.0,0.0
opel corsa (FR),2013.0,3000.0,0.0
opel corsa (FR),2013.0,3500.0,0.0
opel corsa (FR),2013.0,4000.0,0.0
opel corsa (FR),2013.0,4500.0,0.0
opel corsa (FR),2013.0,5000.0,0.0
opel corsa (FR),2013.0,5500.0,2.0
opel corsa (FR),2013.0,6000.0,0.0
opel corsa (FR),2013.0,6500.0,7.0
opel corsa (FR),2013.0,7000.0,9.0
opel corsa (FR),2013.0,7500.0,7.0
opel corsa (FR),2013.0,8000.0,0.0
opel corsa (FR),2013.0,8500.0,4.0
opel corsa (FR),2013.0,9000.0,0.0
opel corsa (FR),2013.0,9500.0,0.0
opel corsa (FR),2013.0,10000.0,1.0
opel corsa (FR),2013.0,10500.0,1.0
opel corsa (FR),2013.0,11000.0,0.0
opel corsa (FR),2013.0,11500.0,0.0
opel corsa (FR),2013.0,12000.0,0.0
opel corsa (FR),2013.0,12500.0,0.0
opel corsa (FR),2013.0,13000.0,0.0
opel corsa (FR),2013.0,13500.0,0.0
opel corsa (FR),2013.0,14000.0,0.0
opel corsa (FR),2013.0,14500.0,0.0
opel corsa (FR),2013.0,15000.0,0.0
opel corsa (FR),2013.0,15500.0,0.0
opel corsa (FR),2013.0,16000.0,0.0
opel corsa (FR),2013.0,16500.0,0.0
opel corsa (FR),2013.0,17000.0,0.0
opel corsa (FR),2013.0,17500.0,0.0
opel corsa (FR),2013.0,18000.0,0.0
opel corsa (FR),2013.0,18500.0,0.0
opel corsa (FR),2013.0,19000.0,0.0
opel corsa (FR),2013.0,19500.0,0.0
opel corsa (FR),2014.0,1000.0,0.0
opel corsa (FR),2014.0,1500.0,0.0
opel corsa (FR),2014.0,2000.0,0.0
opel corsa (FR),2014.0,2500.0,0.0
opel corsa (FR),2014.0,3000.0,0.0
opel corsa (FR),2014.0,3500.0,0.0
opel corsa (FR),2014.0,4000.0,0.0
opel corsa (FR),2014.0,4500.0,0.0
opel corsa (FR),2014.0,5000.0,0.0
opel corsa (FR),2014.0,5500.0,0.0
opel corsa (FR),2014.0,6000.0,0.0
opel corsa (FR),2014.0,6500.0,5.0
opel corsa (FR),2014.0,7000.0,6.0
opel corsa (FR),2014.0,7500.0,24.0
opel corsa (FR),2014.0,8000.0,12.0
opel corsa (FR),2014.0,8500.0,19.0
opel corsa (FR),2014.0,9000.0,1.0
opel corsa (FR),2014.0,9500.0,1.0
opel corsa (FR),2014.0,10000.0,0.0
opel corsa (FR),2014.0,10500.0,2.0
opel corsa (FR),2014.0,11000.0,1.0
opel corsa (FR),2014.0,11500.0,0.0
opel corsa (FR),2014.0,12000.0,0.0
opel corsa (FR),2014.0,12500.0,0.0
opel corsa (FR),2014.0,13000.0,0.0
opel corsa (FR),2014.0,13500.0,0.0
opel corsa (FR),2014.0,14000.0,0.0
opel corsa (FR),2014.0,14500.0,1.0
opel corsa (FR),2014.0,15000.0,0.0
opel corsa (FR),2014.0,15500.0,0.0
opel corsa (FR),2014.0,16000.0,0.0
opel corsa (FR),2014.0,16500.0,0.0
opel corsa (FR),2014.0,17000.0,0.0
opel corsa (FR),2014.0,17500.0,0.0
opel corsa (FR),2014.0,18000.0,0.0
opel corsa (FR),2014.0,18500.0,0.0
opel corsa (FR),2014.0,19000.0,0.0
opel corsa (FR),2014.0,19500.0,0.0
opel corsa (FR),2015.0,1000.0,0.0
opel corsa (FR),2015.0,1500.0,0.0
opel corsa (FR),2015.0,2000.0,0.0
opel corsa (FR),2015.0,2500.0,0.0
opel corsa (FR),2015.0,3000.0,0.0
opel corsa (FR),2015.0,3500.0,0.0
opel corsa (FR),2015.0,4000.0,0.0
opel corsa (FR),2015.0,4500.0,0.0
opel corsa (FR),2015.0,5000.0,0.0
opel corsa (FR),2015.0,5500.0,0.0
opel corsa (FR),2015.0,6000.0,0.0
opel corsa (FR),2015.0,6500.0,1.0
opel corsa (FR),2015.0,7000.0,2.0
opel corsa (FR),2015.0,7500.0,2.0
opel corsa (FR),2015.0,8000.0,5.0
opel corsa (FR),2015.0,8500.0,24.0
